ProductNo,category,sub_category,product,brand,market_price,rating
22485,Beauty & Hygiene,Hair Care,Garlic Oil - Vegetarian Capsule 500 mg,Sri Sri Ayurveda ,220,4.1
22596,"Kitchen, Garden & Pets",Storage & Accessories,Water Bottle - Orange,Mastercook,180,2.3
23235,Cleaning & Household,Pooja Needs,"Brass Angle Deep - Plain, No.2",Trm,250,3.4
23272,Cleaning & Household,Bins & Bathroom Ware,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Nakoda,176,3.7
23239,Beauty & Hygiene,Bath & Hand Wash,Creme Soft Soap - For Hands & Body,Nivea,162,4.4
21705,Cleaning & Household,All Purpose Cleaners,Germ - Removal Multipurpose Wipes,Nature Protect,199,3.3
22118,Beauty & Hygiene,Skin Care,Multani Mati,Satinance,58,3.6
22119,Beauty & Hygiene,Bath & Hand Wash,Hand Sanitizer - 70% Alcohol Base,Bionova,250,4
22217,Beauty & Hygiene,Hair Care,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,StBotanica,1098,3.5
22216,Cleaning & Household,"Mops, Brushes & Scrubs","Scrub Pad - Anti- Bacterial, Regular",Scotch brite,20,4.3
22380,Gourmet & World Food,Cooking & Baking Needs,Wheat Grass Powder - Raw,NUTRASHIL,290,4
22442,Gourmet & World Food,Chocolates & Biscuits,Butter Cookies Gold Collection,Sapphire,600,2.2
22664,Beauty & Hygiene,Skin Care,"Face Wash - Oil Control, Active",Oxy,110,5
22721,Cleaning & Household,All Purpose Cleaners,Mold & Mildew Remover with Bleach,Clorox,350,3.8
22723,Cleaning & Household,Fresheners & Repellents,Just Spray - Mosquito Repellent Room Spray,Herbal Strategi,200,4.2
22785,Cleaning & Household,Bins & Bathroom Ware,Dove Plastic Soap Case - Assorted Colour,Nakoda,59,4
22955,Beauty & Hygiene,Skin Care,Smooth Skin Oil - For Dry Skin,Aroma Treasures,360,5
23141,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Salted Pumpkin,Graminway,180,4.9
22956,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Flax Seeds - Roasted,True Elements,120,4.3
22581,Gourmet & World Food,Dairy & Cheese,Organic Tofu - Soy Paneer,Murginns,90,3.9
23198,Beauty & Hygiene,Hair Care,Ceramic Barrel Brush - Colour May Vary,Bronson Professional,700,4.2
23197,Gourmet & World Food,"Pasta, Soup & Noodles",Instant Noodles - Chicken Satay Flavor,Koka,50,4.1
23184,"Foodgrains, Oil & Masala",Dry Fruits,Chia Seeds,NaturoBell,120,3.9
23168,Gourmet & World Food,Drinks & Beverages,Cleanse Green Tea - Whole Leaf Loose Tea,Cambridge Tea Party,75,3.9
23167,"Kitchen, Garden & Pets",Kitchen Accessories,Veggie Cutter,IRICH,195,5
23166,"Kitchen, Garden & Pets",Flask & Casserole,Insulated Hot Fresh Casserole For Roti/Chapati - White,Cello,895,3.3
23165,Snacks & Branded Foods,Breakfast Cereals,Granola - Happy Berries,Fit & Flex,265,3.5
23004,"Foodgrains, Oil & Masala",Dry Fruits,Flaxseed - Pesticide Free,Safe Harvest,55,4
23002,Snacks & Branded Foods,Frozen Veggies & Snacks,Paratha Puff,Switz,110,4.3
23000,Beauty & Hygiene,Skin Care,Lip Butter - Rose,Organic Harvest,199,1.5
22998,Beverages,Fruit Juices & Drinks,Fruit Power - Masala Sugarcane,Real,20,2.9
22994,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Chocobakes Choc Filled Cookies,Cadbury,120,4.2
22835,Beauty & Hygiene,Fragrances & Deos,Amber - Deodorant Body Spray,Old Spice,249,3.4
22730,Beverages,Tea,Green Tea - Tulsi Loose Leaf,Octavius,225,3.7
22728,"Kitchen, Garden & Pets",Storage & Accessories,Pet Solitaire Container Set - Silver,Steelo,969,3.9
22727,"Foodgrains, Oil & Masala",Masalas & Spices,Dhania - Dal,bb Royal,120,4.1
22726,"Foodgrains, Oil & Masala",Masalas & Spices,Pudina Chutney Masala,Catch,55,3.9
22720,Beauty & Hygiene,Fragrances & Deos,Bodylicious Deodorant Spray - Mate (For Men),Engage,195,4.1
22693,Beauty & Hygiene,Men's Grooming,"Sport Deo Spray - Fresh, for Men",Engage,205,3.7
22670,Snacks & Branded Foods,Chocolates & Candies,Choco Deck - Mini Delights,Fabelle,200,4.4
22667,Beauty & Hygiene,Fragrances & Deos,Eau De Toilette - Homme Green,Colour Me,450,4.3
22666,Beauty & Hygiene,Bath & Hand Wash,Lemon & Tea Tree Oil Soap,Liril,360,4.2
22631,Gourmet & World Food,Chocolates & Biscuits,Flavoured Cream Wafer Roll - Strawberry,Twister,275,4.3
22628,"Kitchen, Garden & Pets",Steel Utensils,Storage/Lunch Steel Container with PP Lid - Red,Classic Essentials,299,2.6
22467,Gourmet & World Food,Tinned & Processed Food,Plain Green Olives,Figaro,179,5
22197,"Foodgrains, Oil & Masala",Organic Staples,Quinoa - Organic,Organic Tattva,250,3.9
22114,Beauty & Hygiene,Men's Grooming,After Shave Splash - Arctic Ice,Gillette,469,3.9
22112,Cleaning & Household,All Purpose Cleaners,Colour Catcher Sheets,Dylon ,799,4
21908,Gourmet & World Food,"Sauces, Spreads & Dips",Sauce - Sweet & Sour,Pantai,245,3.7
21874,Snacks & Branded Foods,Pickles & Chutney,Super Hot and Sweet Mango Chutney,Spice Story,125,3
21872,"Foodgrains, Oil & Masala",Masalas & Spices,Pani Puri Mix Paste,Mother's Recipe,55,4.1
21871,Gourmet & World Food,Drinks & Beverages,Peach Syrup,Pekers,850,4.2
21533,Beauty & Hygiene,Men's Grooming,Acne & Oil Control Face Wash,Red Hunt,100,4
21481,Snacks & Branded Foods,Chocolates & Candies,Choco Deck - French Dessert Inspired Layered Bar,Fabelle,70,4
21479,Gourmet & World Food,Tinned & Processed Food,Extra Fine Green Peas,Daucy,225,4.5
21248,Beauty & Hygiene,Skin Care,Soothing Cucumber Facial Scrub With Apricot Seeds,TJORI,499,
21216,Snacks & Branded Foods,Ready To Cook & Eat,Foochka,Shareat,60,3.9
21181,Beauty & Hygiene,Hair Care,Argan-Liquid Gold Hair Spa,Aroma Treasures,210,4.4
21175,Baby Care,Baby Bath & Hygiene,"Baby Bed Protector - Sublimation Print, Pink",Quick Dry,199,3.7
21169,Cleaning & Household,Stationery,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,Prozo Plus,399,
21162,"Kitchen, Garden & Pets",Kitchen Accessories,"Atta Chalan - Stainless Steel, Size- No.8",Kvg,179,3.5
21159,"Kitchen, Garden & Pets",Pet Food & Accessories,Dog Supplement - Absolute Skin + Coat Tablet,Drools,498,4
21158,Gourmet & World Food,"Sauces, Spreads & Dips","Peanut Butter - Creamy, Super",Happilo,349,4.3
21154,Snacks & Branded Foods,Biscuits & Cookies,Sugar Free Petit Beurre - The Taste of France,Bisk Farm,35,4
16016,Beauty & Hygiene,Hair Care,Aqua Halo Rejuvenating Conditioner,Azafran,225,1
16014,Beauty & Hygiene,Skin Care,Ayurvedic Anti-Tan Face Pack,TJORI,449,
16008,"Kitchen, Garden & Pets",Pet Food & Accessories,Dog Supplement - Absolute Calcium Tablet,Drools,399,3.9
85152,Beauty & Hygiene,Oral Care,Battery Power Kids Toothbrush - Barbie,Colgate,499,4
84596F,"Foodgrains, Oil & Masala",Masalas & Spices,Organic Carom Seeds/Ajwain/Om Kalu,Earthon,72,
84596B,"Kitchen, Garden & Pets",Pet Food & Accessories,"Padded Harness - 3/4 inch, Grey Colour",Glenand,840,
84510A,Beauty & Hygiene,Oral Care,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Colgate,43,4
82600,Beauty & Hygiene,Skin Care,Pure & Gentle Face Wash,Pears,150,4.3
82581,Beauty & Hygiene,Skin Care,Sesame Seed Oil,INATUR ,300,3.5
72232,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Til Dil Seeds,Mantra,70,3.6
47559B,"Kitchen, Garden & Pets",Storage & Accessories,"Penta Plastic Pet Water Bottle - Green, Wide Mouth",BB Home,126,
47504H,Beauty & Hygiene,Skin Care,Acne Pimple Kit For Acne & Pimple Removal,Natures Essence,500,3
23493,"Kitchen, Garden & Pets",Kitchen Accessories,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch",Bamboooz,299,4.3
23430,Beauty & Hygiene,Bath & Hand Wash,& Moms Bathing Soap - Jasmine,Dettol,120,4.6
23429,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Amla Chatpata Dry Fruit,Fresho Signature,65,
23428,Beauty & Hygiene,Oral Care,"Toothbrush Superhero Assorted, Batman/Spiderman",Colgate,79,3.9
23358,Snacks & Branded Foods,Snacks & Namkeen,Chips - Topica,Sanjay ,65,3.9
23293,Gourmet & World Food,"Pasta, Soup & Noodles",Cup a Soup - Croutons Cream of Asparagus,Batchelors,299,
23243,"Foodgrains, Oil & Masala",Organic Staples,Organic Dal - Masoor,Pro Nature,96,3.9
23240,Gourmet & World Food,Dairy & Cheese,Strawberry Ice Cream,Haagen-Dazs,225,
48111,Cleaning & Household,Detergents & Dishwash,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,bb Combo,114,
22464,"Kitchen, Garden & Pets",Crockery & Cutlery,Jupiter Water/Juice Glass Tumbler,BB Home,629,
20982,Gourmet & World Food,Dairy & Cheese,"Cheese - Feta Greek, Block",Fresho Signature,773,
20981,Cleaning & Household,Pooja Needs,Avida 3-in-1 Semi Economy Pouch -  FG01248,Shalimar,35,4.6
23424,Beauty & Hygiene,Bath & Hand Wash,Bathing Soap - Sandal & Turmeric,Godrej No.1,299,4.2
23338,Fruits & Vegetables,Cuts & Sprouts,Sweet Corn Kernels - Chipotle,Supa Corn,55,
84970L,Beauty & Hygiene,Health & Medicine,Ashwagandha Tablets,Muniyal Ayurveda,120,
22457,"Kitchen, Garden & Pets",Cookware & Non Stick,Hard Anodised Ezee-Pour Saucepan With Lid - L88,Hawkins Futura,910,4.6
22469,"Bakery, Cakes & Dairy",Dairy,Topp Up Milk - Elaichi,Gowardhan,90,5
22909,Snacks & Branded Foods,Snacks & Namkeen,Namkeen - Madras Mixture,Townbus,10,4.1
84947,"Kitchen, Garden & Pets",Steel Utensils,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack",Ramson,249,1.5
23503,Beauty & Hygiene,Fragrances & Deos,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Brut,299,4
23445,Beauty & Hygiene,Feminine Hygiene,Hair Remover Spray - Foam Lemon,Dimples,1200,
23530,Beauty & Hygiene,Bath & Hand Wash,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Godrej Protekt,35,4.4
84997C,Beauty & Hygiene,Skin Care,Frankincense Oil,Organic Harvest,345,3.7
84997D,Baby Care,Diapers & Wipes,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Huggies,1398,4
84077,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Samrakshana Vaastu Deepa Thailam,Samvruddhi,515,
22749,Gourmet & World Food,Cooking & Baking Needs,Quinoa - Organic Black,Nourish You,495,
23127,Beauty & Hygiene,Hair Care,Fructis Serum - Long & Strong,Garnier,230,4.8
23126,Beauty & Hygiene,Bath & Hand Wash,Citrus Blast Orange Lemon Soap Free Body Wash,Fuschia,250,3.7
22747,Snacks & Branded Foods,Biscuits & Cookies,Veda Marie Light Biscuits,Sunfeast,30,4.4
22078,"Kitchen, Garden & Pets",Storage & Accessories,"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet",Fendo,749,3.6
84946,Beverages,Fruit Juices & Drinks,Aamras Mango Fruit Juice,Paper Boat,360,
22791,Beauty & Hygiene,Hair Care,Henna & Ginseng Anti Hair Loss Shampoo,Jovees,145,3.6
21326,"Kitchen, Garden & Pets",Cookware & Non Stick,"Sandwich Toaster - Non-Stick, Gas",Omega,315,3.3
22170,Baby Care,Baby Food & Formula,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",Slurrp Farm,349,4
23082,Cleaning & Household,Pooja Needs,Incense Sticks - Sandal,Ambica,60,4.6
22909,Beauty & Hygiene,Skin Care,SPF 15 Sunscreen Lotion,Elovera,299,5
22087,"Foodgrains, Oil & Masala",Organic Staples,Fenugreek,Organic Tattva,30,4.2
23464,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Caramel Popcorn - Himalayan Salt,4700BC,49,
22411,Beauty & Hygiene,Skin Care,Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control,Soulflower,215,4
84029E,Fruits & Vegetables,Fresh Fruits,Sapota - Organically Grown,Fresho,43.75,
22633,Beverages,Tea,Spiced Tea - Blend Of 7 Refreshing Spices,Wagh Bakri,150,4.3
23355,"Kitchen, Garden & Pets",Steel Utensils,"Steel Bowl/Vati/Katori - No. 4, Chutney",BB Home,159,
84029G,"Kitchen, Garden & Pets",Pet Food & Accessories,"Adult Dry Cat Food - +1 Year, Ocean Fish",Maxi Persian,999,
22112,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Millet Rusk - Sweet,Nutribee,100,4.5
84347,"Kitchen, Garden & Pets",Cookware & Non Stick,"Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm",Vinod,1335,3.8
21115,Cleaning & Household,Fresheners & Repellents,"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",Aer,55,4.2
22059,Fruits & Vegetables,Fresh Vegetables,Cabbage - Red,Fresho,28.75,
22072,"Kitchen, Garden & Pets",Storage & Accessories,Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box,Hm International,299,3
22123,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),Dhara ,185,4.1
22476,"Kitchen, Garden & Pets",Storage & Accessories,Premium Square Plastic Container - Green,Mastercook,280,3.9
22495,Snacks & Branded Foods,Snacks & Namkeen,Instant Popcorn - Butter Delite,ACT II,33,4.2
22496,Beauty & Hygiene,Skin Care,Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g,Kaya Clinic,525,
22513,Beauty & Hygiene,Health & Medicine,Nutrition Plus Health Supplement - Joint Support,Abbies,1299,
22500,"Kitchen, Garden & Pets",Crockery & Cutlery,Glass Belleza Bowl - Wine,Iveo ,398,
22664,Snacks & Branded Foods,Biscuits & Cookies,Dark Fantasy - Choco Fills Biscuits - Cookies,Sunfeast,30,4.3
22721,Fruits & Vegetables,Fresh Fruits,Banana - Red,Fresho,48.75,
22785,Fruits & Vegetables,Herbs & Seasonings,"ChilliÂ - Bajji, Mild",Fresho,17.5,
23178,Snacks & Branded Foods,Chocolates & Candies,I Love You Fruit N Nut Chocolate,Amul,100,4.2
23302,Gourmet & World Food,Tinned & Processed Food,Pitted Green Olives,Del Monte,230,4.4
23533,"Kitchen, Garden & Pets",Crockery & Cutlery,Glass Mixing Bowl With Lid - Polo,Yera,190,3.7
84819,Gourmet & World Food,Cooking & Baking Needs,Cake Gel,Purix,90,
22371,Gourmet & World Food,Chocolates & Biscuits,Toffees - Excellence Assorted,Sapphire,250,
21875,Snacks & Branded Foods,Ready To Cook & Eat,Organic Idly Podi - Ginger,Aaha Oho,75,3.9
23251,"Kitchen, Garden & Pets",Storage & Accessories,Glass Water Bottle - Aquaria Organic Purple,Cello,425,4.8
23300,"Kitchen, Garden & Pets",Steel Utensils,Stainless Steel Pav Bhaji/Idli Oval Shaped Plate,Omega,125,3.6
22138,"Foodgrains, Oil & Masala",Organic Staples,Organic Cow Ghee/Tuppa,Akshayakalpa,280,4.2
23843,"Foodgrains, Oil & Masala",Dry Fruits,Dates/Kharjura - Deseeded,Lion,66,4.1
22617,Snacks & Branded Foods,Pickles & Chutney,Chutney - Sweet Mango Sliced (without Garlic),Priya,90,3.9
20749,"Foodgrains, Oil & Masala",Masalas & Spices,Turmeric Powder/Arisina Pudi,Aashirvaad,64,4.2
22910,"Bakery, Cakes & Dairy",Breads & Buns,Bread - Fruit,English Oven,20,
22086,Gourmet & World Food,Cooking & Baking Needs,Bombay Street Food Spice Blend,Cafe Junyali,225,
23351,Snacks & Branded Foods,Breakfast Cereals,Ragi Flakes,Murginns,225,4.5
23352,Gourmet & World Food,Oils & Vinegar,Mustard Oil - Cold Pressed,Health 1st,250,3.7
22727,"Kitchen, Garden & Pets",Crockery & Cutlery,Juice/Water Glass - Long Drink Nord,Lyra,975,3.3
22730,"Kitchen, Garden & Pets",Crockery & Cutlery,Glass Amaze Air Tight Jar - Pink,Iveo ,358,
22491,Beauty & Hygiene,Oral Care,"Finger Brush For Kids - Blue, Ultra Soft",Dentoshine  ,120,4.3
22561,"Kitchen, Garden & Pets",Crockery & Cutlery,Water/Juice Glass  - Jupiter Long Glass,Lyra,705,3.5
22489,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Energy Bar - Choco Crunch,On The Run,50,
22560,Beauty & Hygiene,Feminine Hygiene,Breeze - Razor Blades,Gillette Venus,350,4.3
22139,Gourmet & World Food,Cooking & Baking Needs,"Confeito Vermicelli Combo, Sprinkles",Wow Confetti,260,
23344,Gourmet & World Food,Oils & Vinegar,Olive Oil - Classic,BORGES,700,4.5
23203,"Kitchen, Garden & Pets",Storage & Accessories,"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth",BB Home,42,
85099B,Gourmet & World Food,Cooking & Baking Needs,Chia Seeds,Organicana,185,
23201,Beauty & Hygiene,Skin Care,Skin Cream,Aloederm,150,3.1
23207,Cleaning & Household,Fresheners & Repellents,One Touch Air Purifier Freshener - Floral Bouquet Refill,Odonil ,77,4.2
21137,"Kitchen, Garden & Pets",Crockery & Cutlery,Water/Juice Glass,Yera,220,3.7
23118,Beauty & Hygiene,Hair Care,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,Garnier,199,4.1
23111,Beauty & Hygiene,Bath & Hand Wash,Nomarks - Antimarks Soap For Oily Skin,Bajaj,40,4.3
22179,Gourmet & World Food,Drinks & Beverages,"Silver Needles Tulsi White Tea Bags - Rich In Antioxidants, Pure Tea Buds",Sancha,450,
22061,Baby Care,Feeding & Nursing,Baby Napkins - Mini Terry,Mee Mee,179,4.3
22182,Cleaning & Household,Stationery,"Printed Fabric Pencil Pouch - Purple, BB1263DPPL",DP,399,4
23571,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Snacks - Roasted Mixture Lime,GoodDiet,109,
23369,Snacks & Branded Foods,Ready To Cook & Eat,Organic Dosa Mix - Jowar,Aaha Oho,80,3.7
23370,"Kitchen, Garden & Pets",Storage & Accessories,Lunch Box/Tiffin Set - Green BB 570 2,Tedemei,565,3.6
23371,Beverages,Energy & Soft Drinks,BCAA Energy Drink - Berry Flavour,NOCD,110,4
23372,Beauty & Hygiene,Skin Care,Coffee Energizing Face Scrub,BIOTIQUE,190,3
23376,Beauty & Hygiene,Hair Care,Pain Relief - Oil,Himalaya Wellness,100,4.4
23377,Baby Care,Diapers & Wipes,Ultra Soft New Born Diapers - Extra Small,Huggies,999,3.9
23378,Beauty & Hygiene,Skin Care,Jungle Stimulating Facial Cleanser,StBotanica,799,
23379,Beauty & Hygiene,Skin Care,Ylang Ylang Essential Oil,Soulflower,450,4.5
23380,Beauty & Hygiene,Bath & Hand Wash,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),Medimix,40,4.3
23381,Beauty & Hygiene,Bath & Hand Wash,Soap,Mysore Sandal,430,5
23382,Beauty & Hygiene,Health & Medicine,Yellow Balm,Siang Pure,195,
23391,"Kitchen, Garden & Pets",Appliances & Electricals,"LED Bulb - 12 Watt, Cool Daylight, B22 Base",AGARO,260,4
23392,Fruits & Vegetables,Herbs & Seasonings,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,Fresho,109.38,
23399,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Jaggery/Bella Powder - Pesticide Free,Safe Harvest,70,3.9
23405,"Foodgrains, Oil & Masala",Masalas & Spices,Ready Masala - Kashmiri Meat,Kohinoor,20,4.2
23418,Cleaning & Household,All Purpose Cleaners,"Water Saving Aerator, Switch",ECO365,509,
23426,Beauty & Hygiene,Skin Care,Lemongrass Anti-Pigmentation Massage Cream,Vaadi,165,
23434,Snacks & Branded Foods,Ready To Cook & Eat,Breakfast Mix - Finger Millet Ragi Idli,GoodDiet,149,4.2
23435,Beauty & Hygiene,Skin Care,Herbal Wine Grapefruit Lip Balm,Khadi Natural,99,4.4
23439,Snacks & Branded Foods,Ready To Cook & Eat,Masala Upma,MOM Meal of the Moment,20,3.4
23451,Beauty & Hygiene,Health & Medicine,Maharishi Ayurveda Ayush Kwath,Maharishi Ayurveda ,165,
23467,"Kitchen, Garden & Pets",Cookware & Non Stick,Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257),Prestige,2780,
23469,"Kitchen, Garden & Pets",Pet Food & Accessories,Chicken Liver Gourmet Loaf With Pumpkin - Super Food,Kennel kitchen ,150,
23480,Beauty & Hygiene,Skin Care,Bath & Body Oil - Oriental Spicy Rose,Oriental Botanics,699,2
23493,Beauty & Hygiene,Skin Care,"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",Bio-Oil,450,4.2
23494,"Bakery, Cakes & Dairy",Gourmet Breads,Brioche,The Baker's Dozen,155,4.4
23495,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Onion - Rings,Miaow Miaow,75,
23497,Cleaning & Household,"Mops, Brushes & Scrubs",Cotton Mop With Telescopic Handle 150 Cm,York,620,
23498,Fruits & Vegetables,Organic Fruits & Vegetables,Kale,Fresho,12.5,
23501,Cleaning & Household,Stationery,"Notebook - Unruled, Long",Classmate,33,4.3
23506,Gourmet & World Food,"Pasta, Soup & Noodles",Instant Noodles - Soy & Vinegar,Koka,75,3.6
23508,Gourmet & World Food,Cooking & Baking Needs,Gluten-Free Quinoa Flour,Graminway,378,3.7
23510,Snacks & Branded Foods,Indian Mithai,"Chikki, Peanut Bar",Paper Boat,40,4.1
23521,Beauty & Hygiene,Fragrances & Deos,1001 Nights Concentrated Oriental Perfume Free From Alcohol For Unisex,Ajmal,5000,
23526,Beauty & Hygiene,Fragrances & Deos,Man - Indigo Body Mist,Nike,348,
23530,"Foodgrains, Oil & Masala",Organic Staples,Fields Of Gold Organic Cumin - Whole,PRISTINE,52,4.4
23534,Beauty & Hygiene,Skin Care,Body Massage Oil - Energising,Aloe Veda,775,
23535,Snacks & Branded Foods,Ready To Cook & Eat,Synthetic Food Colour Preparation Lemon Yellow,999,20,4
23536,Beauty & Hygiene,Oral Care,"Toothpaste - Gum Care, Expert Protection",Pepsodent,98,4.3
23538,Beauty & Hygiene,Skin Care,Bio Myristica Spot Correcting Anti Acne Face Pack,BIOTIQUE,199,3.9
23551,"Kitchen, Garden & Pets",Kitchen Accessories,"Stainless Steel Frying Ladle - No. 9, Silvera",Anjali,82,3.7
23552,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",OvenOrg Multi Millet Rusk,PRISTINE,35,1.8
23555,Beauty & Hygiene,Health & Medicine,Mahabhringraj Tel - Hairfall Reduction & Dandruff Control,Baidyanath,295,
23559,Beauty & Hygiene,Bath & Hand Wash,Masterchefs Germ Protection Liquid Handwash Refill,Godrej Protekt,147,4.2
23561,Beauty & Hygiene,Hair Care,Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,Garnier,117,4.2
23564,Gourmet & World Food,Oils & Vinegar,Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey,Zoe,499,5
23565,Fruits & Vegetables,Fresh Vegetables,"Brinjal - Varikatri, Organically Grown",Fresho,12.5,
23567,"Bakery, Cakes & Dairy",Dairy,Wonderz Milk Shakes - Classic Vanilla,Sunfeast,35,4.5
23569,Snacks & Branded Foods,Biscuits & Cookies,Marie Light Biscuits - Oats Fibre,Sunfeast,25,4.3
23570,"Foodgrains, Oil & Masala",Masalas & Spices,Masala - Chicken,Annapoorna,28,4.8
23571,Snacks & Branded Foods,Chocolates & Candies,Dark Chocolate- 55% Rich In Cocoa,Amul,100,4.3
23575,Baby Care,Diapers & Wipes,Gentle Baby Wipes,Himalaya,699,4.1
23579,Fruits & Vegetables,Fresh Fruits,Avocado,Fresho,131.25,
23611,Cleaning & Household,Bins & Bathroom Ware,Plastic Dustbin - Beige,DP,449,4.1
23616,Fruits & Vegetables,Fresh Fruits,"Pineapple - Chunks, Single Serve",Fresho,23.75,
23621,"Foodgrains, Oil & Masala",Masalas & Spices,Jeera Powder,Catch,52,4.1
23635,Beauty & Hygiene,Skin Care,Pure Neem Skin Purifying Face Wash,Joy,120,4.3
23644,Fruits & Vegetables,Organic Fruits & Vegetables,Lemon - Organically Grown,Fresho,42,
23660,Beauty & Hygiene,Bath & Hand Wash,Lavender & Vanilla Handmade Luxury Soap,StBotanica,275,5
23661,"Kitchen, Garden & Pets",Cookware & Non Stick,"Stainless Steel Pressure Cooker - Steeltuff, Induction Base, Silver",United,2424,3
35095A,"Kitchen, Garden & Pets",Steel Utensils,"Steel Deep Dabba/Storage Container - No. 12, Plain",BB Home,339,
35095B,Beauty & Hygiene,Health & Medicine,Chyawan Fit Sugarfree Chyawanprash - Natural Immunity Booster,Baidyanath,225,5
35646,Beauty & Hygiene,Bath & Hand Wash,Morning Dew Perfumed Talc 250 g + English Lavender Perfumed Talc 250 g,Yardley London,400,
35648,Snacks & Branded Foods,Chocolates & Candies,"Energy Bars - Nutty, 4+ Years, 100% Natural & Healthy",Timios,140,3.6
35953,Fruits & Vegetables,Cuts & Sprouts,Banana Stem - Diced,Fresho,40,
35964,Gourmet & World Food,Cooking & Baking Needs,Chilli Flakes,On1y,99,4.3
35970,"Kitchen, Garden & Pets",Storage & Accessories,Bite & Sip Flask And Lunch Box/Tiffin Box - Green Colour,Asian,495,3.5
46118,Snacks & Branded Foods,Snacks & Namkeen,Namkeen - Khara Boondi,Tasties,85,4
46776A,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Raw Seeds - Sunflower Pumpkin Flax Seeds,True Elements,175,4.4
46776B,"Kitchen, Garden & Pets",Appliances & Electricals,"Garnet LED White Bulb - 14 Watt, Cool Day, B22",Wipro,320,3.5
46776C,"Bakery, Cakes & Dairy",Dairy,Tempeh Cubes - Simply Sriracha Soyabean,Hello Tempayy,150,5
46776D,Beauty & Hygiene,Skin Care,Green Tea Gentle Detox Set,The Moms Co,972,
46776E,"Eggs, Meat & Fish",Fish & Seafood,Fresh Catch Fish Fingers,Ifb,240,
46776F,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Sour Cream & Onion,Appitas,95,2.8
47310M,Gourmet & World Food,Cooking & Baking Needs,Xylitol Powder,So Sweet,350,5
47480,"Kitchen, Garden & Pets",Crockery & Cutlery,Glass Amaze Air Tight Jar - Pink,Iveo ,358,
47504H,Snacks & Branded Foods,Biscuits & Cookies,Sixer Biscuits - Salted,Parle,60,4.2
47559B,Beauty & Hygiene,Health & Medicine,"Gokshuradi Guggulu - Urinary Disorders, 500mg",Sri Sri Tattva,80,
47563A,Beauty & Hygiene,Skin Care,Peach Shine Lip Care,Himalaya,150,4
47566,Beauty & Hygiene,Bath & Hand Wash,Skincare Hand Wash Refill,Dettol,218,4.3
47590B,"Kitchen, Garden & Pets",Cookware & Non Stick,4mm Aluminium Induction Base Chapati Roti Tawa - Silver,HAZEL,1289,
51014A,Snacks & Branded Foods,Ready To Cook & Eat,Mix - Rava Idli,Grb,110,4.1
51014L,Beauty & Hygiene,Fragrances & Deos,Impress Concentrated Perfume Free From Alcohol For Male,Ajmal,500,
71270,Beauty & Hygiene,Skin Care,Skin Awakening Rinse,Kaya Clinic,480,5
