ProductNo,category,sub_category,product,brand,market_price,rating
22186,Gourmet & World Food,Cereals & Breakfast,Crunchy Millet Granola Bars - Espresso With Dark Chocolate,Monsoon Harvest,40,4.8
22187,Beauty & Hygiene,Fragrances & Deos,Perfumed Deo - Hi Flyer,Spinz,190,3.9
22188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Organic Sesame Oil - White Til Oil,Earthon,525,
22190,Cleaning & Household,"Disposables, Garbage Bag",Pocket Tissue - 3 Ply 10Sheets Pack of 6 + Facial Tissues - 2 Ply 100Pulls,BB Home,135,
22197,"Foodgrains, Oil & Masala",Organic Staples,Organic - Amchur/Amchoor Powder,bb Royal,49,
22208,Beauty & Hygiene,Skin Care,Essential Oil - Clove,Aroma Magic ,250,4
22210,Cleaning & Household,Pooja Needs,"Decorative Scented Candles - White, BB-1259-3 White",DP,539,
22211,Beauty & Hygiene,Skin Care,Golden Glow Kit - Single Time Use,Aroma Treasures,180,5
22212,"Kitchen, Garden & Pets",Kitchen Accessories,"Cotton Kitchen Apron - Red Checked, Free Size",Adithya,299,3.8
22219,Beauty & Hygiene,Hair Care,Onion Herbal Hair Growth Oil,Soulflower,650,4.2
22227,Gourmet & World Food,Dairy & Cheese,Creamy Cheese Triangles 120 g + Cheese Slices 200 g,The Laughing Cow,265,
22249,"Kitchen, Garden & Pets",Cookware & Non Stick,Stainless Steel Kadai With Copper Bottom No.11,Omega,555,3.8
22261,Snacks & Branded Foods,Frozen Veggies & Snacks,Aamrus - Kesar Mango Pulp,Jain Farm Fresh,200,3.8
22263,Beauty & Hygiene,Health & Medicine,PIGMENTO Tablets - A Natural Therapy For Vitiligo,Charak,130,
22274,Gourmet & World Food,"Pasta, Soup & Noodles",Rice - Vermicelli,Pantai,175,3.9
22277,Cleaning & Household,Fresheners & Repellents,Quit & Out Mosquito Repellent Cream,Dr. Morepen,50,
22294,"Kitchen, Garden & Pets",Crockery & Cutlery,Country Cottage Curry Bowls,Corelle,1560,
22296,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Amla Dry Fruit,Fresho Signature,130,
22297,Gourmet & World Food,Cooking & Baking Needs,"Chocolate -70% Cocoa, Bitter Sweet Couverture, Premium, From-The-Bean Chocolate Slab",Cocoacraft,400,
22312,Gourmet & World Food,Drinks & Beverages,Earl Grey Tea - Unbleached & Staple-Free Teabags,Karma Kettle,400,
22315,"Foodgrains, Oil & Masala",Masalas & Spices,Ready Masala - Jammu Rajma,Kohinoor,20,4.2
22324,Beauty & Hygiene,Hair Care,Herbal Hair Oil,Aloe Veda,350,4
22327,Baby Care,Baby Food & Formula,"Mini Oaty Bites - Nuts & Berries, 18+ Months, 100% Natural, No Added Sugars",Timios,160,3.7
22329,"Foodgrains, Oil & Masala",Masalas & Spices,Nutmeg/Jayikayi Powder,Snapin,99,4.2
22331,Beauty & Hygiene,Skin Care,Sun + Pollution Protection SPF 30 Body Lotion,Vaseline,375,4.3
22335,Baby Care,Baby Bath & Hygiene,Bio Berry Sensitive Mommy & Baby Bubble Bath,BIOTIQUE,99,4.8
22338,"Kitchen, Garden & Pets",Pet Food & Accessories,Best Friend Fresh & Easy Silica Cat Litter,Petcrux,1175,
